,^GSPC,date
227,2790.370117,2019-01-01 00:00:00
228,2510.030029,2019-02-01 00:00:00
229,2706.530029,2019-03-01 00:00:00
230,2803.689941,2019-04-01 00:00:00
231,2867.189941,2019-05-01 00:00:00
232,2923.72998,2019-06-01 00:00:00
233,2744.449951,2019-07-01 00:00:00
234,2964.330078,2019-08-01 00:00:00
235,2953.560059,2019-09-01 00:00:00
236,2906.27002,2019-10-01 00:00:00
237,2940.25,2019-11-01 00:00:00
238,3066.909912,2019-12-01 00:00:00
239,3113.870117,2020-01-01 00:00:00
240,3257.850098,2020-02-01 00:00:00
241,3248.919922,2020-03-01 00:00:00
242,3090.22998,2020-04-01 00:00:00
243,2470.5,2020-05-01 00:00:00
244,2830.709961,2020-06-01 00:00:00
245,3055.72998,2020-07-01 00:00:00
246,3115.860107,2020-08-01 00:00:00
247,3294.610107,2020-09-01 00:00:00
248,3526.649902,2020-10-01 00:00:00
249,3380.800049,2020-11-01 00:00:00
250,3310.23999,2020-12-01 00:00:00
251,3662.449951,2021-01-01 00:00:00
252,3700.649902,2021-02-01 00:00:00
253,3773.860107,2021-03-01 00:00:00
254,3901.820068,2021-04-01 00:00:00
255,4019.870117,2021-05-01 00:00:00
256,4192.660156,2021-06-01 00:00:00
257,4202.040039,2021-07-01 00:00:00
258,4319.939941,2021-08-01 00:00:00
259,4387.160156,2021-09-01 00:00:00
260,4524.089844,2021-10-01 00:00:00
261,4357.040039,2021-11-01 00:00:00
262,4613.669922,2021-12-01 00:00:00
263,4513.040039,2022-01-01 00:00:00
264,4796.560059,2022-02-01 00:00:00
265,4546.540039,2022-03-01 00:00:00
266,4306.259766,2022-04-01 00:00:00
267,4545.859863,2022-05-01 00:00:00
268,4155.379883,2022-06-01 00:00:00
269,4101.22998,2022-07-01 00:00:00
270,3825.330078,2022-08-01 00:00:00
271,4118.629883,2022-09-01 00:00:00
272,3966.850098,2022-10-01 00:00:00
273,3678.429932,2022-11-01 00:00:00
274,3856.100098,2022-12-01 00:00:00
275,4076.570068,2023-01-01 00:00:00
276,3824.139893,2023-02-01 00:00:00
277,4119.209961,2023-03-01 00:00:00
278,3951.389893,2023-04-01 00:00:00
279,4124.509766,2023-05-01 00:00:00
280,4167.870117,2023-06-01 00:00:00
281,4221.02002,2023-07-01 00:00:00
282,4455.589844,2023-08-01 00:00:00
283,4576.72998,2023-09-01 00:00:00
284,4515.77002,2023-10-01 00:00:00
285,4288.390137,2023-11-01 00:00:00
286,4237.859863,2023-12-01 00:00:00
287,4594.629883,2024-01-01 00:00:00
288,4742.830078,2024-02-01 00:00:00
289,4906.189941,2024-03-01 00:00:00
290,5137.080078,2024-04-01 00:00:00
291,5243.77002,2024-05-01 00:00:00
292,5018.390137,2024-06-01 00:00:00
293,5283.399902,2024-07-01 00:00:00
294,5475.089844,2024-08-01 00:00:00
295,5446.680176,2024-09-01 00:00:00
296,5528.930176,2024-10-01 00:00:00
297,5708.75,2024-11-01 00:00:00
298,5728.799805,2024-12-01 00:00:00
,6047.149902,2025-01-01 00:00:00
,5868.549805,2025-02-01 00:00:00
